booking_id,dealer_id,requested_model,requested_variant,date_booked,status
BOK00417,DLR_018,Celerio,MT,2025-09-09,Delivered
BOK00418,DLR_024,Brezza,ZXI,2025-05-13,Confirmed
BOK00419,DLR_012,Brezza,VXI,2025-11-28,Confirmed
BOK00420,DLR_009,Baleno,AT,2025-03-19,Confirmed
BOK00421,DLR_018,Swift,AT,2025-07-17,Pending
BOK00422,DLR_021,Brezza,LXI,2025-05-21,Confirmed
BOK00423,DLR_003,Grand Vitara,VXI,2025-01-04,Delivered
BOK00424,DLR_027,Grand Vitara,LXI,2025-03-17,Confirmed
BOK00425,DLR_016,Brezza,ZXI,2025-04-12,Pending
BOK00426,DLR_014,Ertiga,LXI,2025-07-21,Pending
BOK00427,DLR_029,Dzire,Alpha,2025-04-07,Delivered
BOK00428,DLR_002,Baleno,MT,2025-07-09,Pending
BOK00429,DLR_014,Ertiga,Delta,2025-08-13,Confirmed
BOK00430,DLR_026,Ignis,Alpha,2025-03-03,Confirmed
BOK00431,DLR_015,Dzire,LXI,2025-01-17,Delivered
BOK00432,DLR_011,Dzire,AT,2025-08-21,Pending
BOK00433,DLR_001,Alto,Sigma,2025-12-25,Pending
BOK00434,DLR_027,Brezza,MT,2025-09-18,Confirmed
BOK00435,DLR_012,Grand Vitara,AT,2025-11-04,Delivered
BOK00436,DLR_012,Brezza,MT,2025-06-07,Pending
BOK00437,DLR_021,Baleno,MT,2025-02-25,Pending
BOK00438,DLR_021,Grand Vitara,ZXI,2025-08-02,Pending
BOK00439,DLR_012,Ertiga,VXI,2025-02-11,Confirmed
BOK00440,DLR_011,Alto,AGS,2025-04-25,Pending
BOK00441,DLR_027,Brezza,AGS,2025-08-26,Delivered
BOK00442,DLR_019,Celerio,MT,2025-11-21,Delivered
BOK00443,DLR_021,Celerio,Sigma,2025-11-13,Pending
BOK00444,DLR_010,Dzire,Delta,2025-10-10,Delivered
BOK00445,DLR_016,Celerio,AGS,2025-05-05,Confirmed
BOK00446,DLR_023,Ertiga,LXI,2025-08-28,Confirmed
BOK00447,DLR_009,Celerio,LXI,2025-09-27,Pending
BOK00448,DLR_029,Swift,AGS,2025-03-19,Pending
BOK00449,DLR_025,Dzire,Delta,2025-05-07,Delivered
BOK00450,DLR_029,Ignis,AGS,2025-09-13,Pending
BOK00451,DLR_010,Swift,VXI,2025-10-19,Confirmed
BOK00452,DLR_010,Ignis,Delta,2025-03-16,Delivered
BOK00453,DLR_025,Grand Vitara,MT,2025-09-27,Confirmed
BOK00454,DLR_010,Grand Vitara,Delta,2025-12-22,Pending
BOK00455,DLR_026,Ignis,Sigma,2025-01-08,Delivered
BOK00456,DLR_012,Swift,MT,2025-09-19,Confirmed
BOK00457,DLR_007,Baleno,Alpha,2025-09-17,Delivered
BOK00458,DLR_007,Ertiga,Alpha,2025-04-27,Confirmed
BOK00459,DLR_030,Grand Vitara,Alpha,2025-10-08,Confirmed
BOK00460,DLR_012,Ertiga,LXI,2025-05-10,Confirmed
BOK00461,DLR_020,Dzire,AGS,2025-11-18,Pending
BOK00462,DLR_013,Brezza,LXI,2025-09-13,Pending
BOK00463,DLR_014,Alto,Delta,2025-09-15,Pending
BOK00464,DLR_021,Grand Vitara,Sigma,2025-01-06,Pending
BOK00465,DLR_013,Celerio,AT,2025-09-09,Delivered
BOK00466,DLR_019,Celerio,ZXI,2025-01-07,Delivered
BOK00467,DLR_026,Ignis,LXI,2025-09-18,Confirmed
BOK00468,DLR_004,Grand Vitara,AGS,2025-05-18,Confirmed
BOK00469,DLR_011,Dzire,VXI,2025-09-05,Pending
BOK00470,DLR_024,Ignis,Sigma,2025-10-02,Pending
BOK00471,DLR_001,Celerio,Delta,2025-09-23,Confirmed
BOK00472,DLR_016,Dzire,ZXI,2025-02-14,Confirmed
BOK00473,DLR_006,Celerio,LXI,2025-02-07,Pending
BOK00474,DLR_008,Dzire,ZXI,2025-05-13,Pending
BOK00475,DLR_013,Alto,Delta,2025-10-28,Pending
BOK00476,DLR_007,Celerio,MT,2025-07-19,Delivered
BOK00477,DLR_021,Alto,LXI,2025-08-11,Delivered
BOK00478,DLR_012,Alto,Delta,2025-08-28,Confirmed
BOK00479,DLR_014,Grand Vitara,AGS,2025-01-05,Pending
BOK00480,DLR_015,Ignis,Alpha,2025-11-18,Pending
BOK00481,DLR_005,Brezza,MT,2025-11-02,Pending
BOK00482,DLR_023,Brezza,Sigma,2025-06-21,Pending
BOK00483,DLR_017,Dzire,AT,2025-06-05,Pending
BOK00484,DLR_017,Grand Vitara,VXI,2025-07-16,Confirmed
BOK00485,DLR_016,Dzire,AGS,2025-03-03,Confirmed
BOK00486,DLR_011,Dzire,Delta,2025-11-17,Delivered
BOK00487,DLR_007,Ertiga,AGS,2025-06-09,Pending
BOK00488,DLR_009,Alto,LXI,2025-02-13,Pending
BOK00489,DLR_004,Baleno,VXI,2025-05-21,Delivered
BOK00490,DLR_005,Grand Vitara,Sigma,2025-06-07,Confirmed
BOK00491,DLR_007,Baleno,LXI,2025-01-06,Pending
BOK00492,DLR_017,Ertiga,MT,2025-12-17,Pending
BOK00493,DLR_011,Ertiga,Sigma,2025-08-13,Delivered
BOK00494,DLR_017,Celerio,VXI,2025-07-28,Confirmed
BOK00495,DLR_002,Brezza,Delta,2025-08-20,Pending
BOK00496,DLR_024,Ignis,Delta,2025-09-23,Pending
BOK00497,DLR_002,Dzire,LXI,2025-08-11,Pending
BOK00498,DLR_023,Ertiga,Sigma,2025-06-19,Confirmed
BOK00499,DLR_005,Ertiga,ZXI,2025-05-04,Confirmed
